Name|Full Name|Sector|Sub Sector|Market|Website
MFC|MFC ASSET MANAGEMENT PUBLIC COMPANY LIMITED|Financials|Finance & Securities|SET|www.mfcfund.com
MFEC|MFEC PUBLIC COMPANY LIMITED|Technology|Information & Communication Technology|sSET|www.mfec.co.th
MINT|MINOR INTERNATIONAL PUBLIC COMPANY LIMITED|Agro & Food Industry|Food & Beverage|SET50 / SETCLMV / SETTHSI / SETWB|www.minor.com
MSC|METRO SYSTEMS CORPORATION PUBLIC COMPANY LIMITED|Technology|Information & Communication Technology|SET|www.metrosystems.co.th
MTI|MUANG THAI INSURANCE PUBLIC COMPANY LIMITED|Financials|Insurance|sSET|www.muangthaiinsurance.com
MTC|MUANGTHAI CAPITAL PUBLIC COMPANY LIMITED|Financials|Finance & Securities|SET50 / SETTHSI|www.muangthaicap.com
NCH|N. C. HOUSING PUBLIC COMPANY LIMITED|Property & Construction|Property Development|SET|www.ncgroup.co.th
NER|NORTH EAST RUBBER PUBLIC COMPANY LIMITED|Agro & Food Industry|Agribusiness|sSET|www.nerubber.com
NNCL|NAVANAKORN PUBLIC COMPANY LIMITED|Property & Construction|Property Development|sSET|www.navanakorn.co.th
NOBLE|NOBLE DEVELOPMENT PUBLIC COMPANY LIMITED|Property & Construction|Property Development|sSET|www.noblehome.com
NRF|NR INSTANT PRODUCE PUBLIC COMPANY LIMITED|Agro & Food Industry|Food & Beverage|SET|https://www.nrinstant.com/
NYT|NAMYONG TERMINAL PUBLIC COMPANY LIMITED|Services|Transportation & Logistics|sSET / SETTHSI|www.namyongterminal.com
OISHI|OISHI GROUP PUBLIC COMPANY LIMITED|Agro & Food Industry|Food & Beverage|SET|www.oishigroup.com
OR|PTT OIL AND RETAIL BUSINESS PUBLIC COMPANY LIMITED|Resources|Energy & Utilities|SET50 / SETCLMV|www.pttor.com
ORI|ORIGIN PROPERTY PUBLIC COMPANY LIMITED|Property & Construction|Property Development|SET100 / SETHD / SETTHSI|www.origin.co.th
OSP|OSOTSPA PUBLIC COMPANY LIMITED|Agro & Food Industry|Food & Beverage|SET50 / SETCLMV / SETHD / SETTHSI / SETWB|www.osotspa.com
PAP|PACIFIC PIPE PUBLIC COMPANY LIMITED|Industrials|Steel and Metal Products|sSET|www.pacificpipe.co.th
PB|PRESIDENT BAKERY PUBLIC COMPANY LIMITED|Agro & Food Industry|Food & Beverage|SET|www.farmhouse.co.th
PCSGH|P.C.S. MACHINE GROUP HOLDING PUBLIC COMPANY LIMITED|Industrials|Automotive|SET|www.pcsgh.com
PDG|PRODIGY PUBLIC COMPANY LIMITED|Industrial|Industrial|mai|www.prodigy.co.th
PDJ|PRANDA JEWELRY PUBLIC COMPANY LIMITED|Consumer Products|Fashion|SET|www.pranda.com
PERM|PERMSIN STEEL WORKS PUBLIC COMPANY LIMITED|Industrials|Steel and Metal Products|SET|www.permsin.com
PL|PHATRA LEASING PUBLIC COMPANY LIMITED|Financials|Finance & Securities|SET|www.pl.co.th
PLANB|PLAN B MEDIA PUBLIC COMPANY LIMITED|Services|Media & Publishing|SET100 / SETTHSI|www.planbmedia.co.th
PLE|POWER LINE ENGINEERING PUBLIC COMPANY LIMITED|Property & Construction|Construction Services|SET|www.ple.co.th
POPF|PRIME OFFICE LEASEHOLD PROPERTY FUND|Property & Construction|Property Fund & REITs|SET|www.scbam.com
PR9|PRARAM 9 HOSPITAL PUBLIC COMPANY LIMITED|Services|Health Care Services|sSET / SETTHSI|www.praram9.com
PREB|PRE-BUILT PUBLIC COMPANY LIMITED|Property & Construction|Construction Services|SET|www.prebuilt.co.th
PRG|PRG CORPORATION PUBLIC COMPANY LIMITED|Agro & Food Industry|Food & Beverage|SET|www.patumrice.co.th
PRM|PRIMA MARINE PUBLIC COMPANY LIMITED|Services|Transportation & Logistics|sSET|www.primamarine.co.th
PSH|PRUKSA HOLDING PUBLIC COMPANY LIMITED|Property & Construction|Property Development|SETTHSI|www.psh.co.th
PSL|PRECIOUS SHIPPING PUBLIC COMPANY LIMITED|Services|Transportation & Logistics|SET|www.preciousshipping.com
PTG|PTG ENERGY PUBLIC COMPANY LIMITED|Resources|Energy & Utilities|SET100 / SETHD / SETTHSI|www.ptgenergy.co.th
PTL|POLYPLEX (THAILAND) PUBLIC COMPANY LIMITED|Industrials|Packaging|SET|www.polyplexthailand.com
PTT|PTT PUBLIC COMPANY LIMITED|Resources|Energy & Utilities|SET50 / SETCLMV / SETHD / SETTHSI|www.pttplc.com
PTTEP|PTT EXPLORATION AND PRODUCTION PUBLIC COMPANY LIMITED|Resources|Energy & Utilities|SET50 / SETCLMV / SETHD / SETTHSI|www.pttep.com
