Name,Market,Price,Max,Min,PE,PBV,Paid-up,Market Cap,Dly Vol,Beta
PSL,SET100 / SETTHSI    ,16.10,21.80,12.80,4.13,1.38,1559.29,25104.60,177.98,1.46
PTG,SET100 / SETTHSI    ,14.70,16.40,12.90,28.81,2.86,1670.00,24549.00,202.41,1.26
PTL,SET    ,25.25,29.25,20.60,5.45,1.13,900.00,22725.00,17.05,0.79
PTT,SET50 / SETCLMV / SETHD / SETTHSI    ,33.75,41.25,30.75,9.56,0.90,28563.00,964001.12,1599.03,0.90
PTTEP,SET50 / SETCLMV / SETHD / SETTHSI    ,167.50,195.00,121.50,10.09,1.34,3969.99,664972.55,1831.01,0.28
PTTGC,SET50 / SETCLMV / SETTHSI    ,50.00,61.00,39.75,999.99,0.77,45088.49,225442.46,1190.72,1.11
QH,SET100 / SETHD    ,2.34,2.44,2.06,11.22,0.93,10714.38,25071.65,44.68,0.48
RATCH,SET50 / SETCLMV / SETHD / SETTHSI    ,44.00,44.75,35.75,11.75,0.90,21750.00,95700.00,340.30,0.63
RBF,SET100 / SETCLMV / SETWB    ,14.70,23.20,10.70,59.78,6.80,2000.00,29400.00,137.57,1.70
RCL,SET100 / SETCLMV / SETWB    ,31.50,53.75,26.25,0.87,0.53,828.75,26105.62,120.37,1.82
RJH,sSET    ,31.25,42.50,29.50,7.32,4.24,300.00,9375.00,10.39,0.31
ROJNA,sSET    ,6.10,7.05,5.35,16.20,0.77,2020.46,12324.82,4.58,1.20
RS,sSET / SETTHSI    ,16.40,21.10,14.60,188.41,7.88,972.50,15948.95,19.98,1.22
S11,sSET    ,5.20,7.00,4.78,8.76,0.98,613.00,3187.60,1.05,0.66
SABUY,SET100 / SETWB    ,12.00,38.00,9.95,18.51,2.15,1605.99,19271.83,268.40,2.25
SAPPE,sSET / SETTHSI    ,45.25,48.25,23.70,25.17,4.49,308.29,13950.08,31.89,1.04
SAT,sSET / SETTHSI    ,21.00,24.70,16.60,9.84,1.15,425.19,8929.07,48.05,0.99
